Name,Street,City,State,Zip,Phone
Green Piece,17910 State Route 536 Suite A,Mount Vernon,WA,98273,360-982-2290
Medical Marijuana Patients,4204 Russell Rd Suite A,Mukilteo,WA,98275,425-346-4533
Green Harbour,109 E Pine St,Oakville,WA,98568,360-858-3077
Bayside Collective,540A RONLEE NW,Olympia,WA,98502,360-451-0573
Canna Health (Olympia),115 Legion Way,Olympia,WA,98502,877-513-8012
Cannatopia 2,2747 Pacific Ave SE,Olympia,WA,98501,360-350-0984
Capitol City Collective Garden,215 Washington St Ne,Olympia,WA,98501,360-704-9197
D3 Medical Club,2625 Martin Way E,Olympia,WA,98501,360-742-8067
Hybrid 360 Farms,6311 Rich Road SE,Olympia,WA,98501,360-878-8182
Northwest Alternative Care,221 Black Lake BLvd SW Suite #G-1,Olympia,WA,98512,360-352-1242
Olympia Alternative Medicine,2405 Harrison Ave NW,Olympia,WA,98502,360-705-9415
Rainier Xpress,117 Legion Way SW,Olympia,WA,98501,360-489-0132
Serious Medicine Collective,322 4th Ave,Olympia,WA,98502,360-943-9658
The Healing Leaf Collective,316 Capitol Way N,Olympia,WA,98501,360-515-0258
Urban Medicinals,121 Legion Way SW,Olympia,WA,98501,360-915-7102
Karma Wellness Cooperative,2839 Hwy 101 E,Port Angeles,WA,98362,360-504-1115
Greenthumb - Port Orchard,4978 Mile Hill Dr.,Port Orchard,WA,98366,360-443-2293
West Sound Quality,4090 Mile Hill Dr,Port Orchard,WA,98366,360-519-7716
HoodCanal Patient2Patient Co-Op,22090 N. US Highway 101,Potlatch,WA,98548,360-877-2700
EZ Green Herbal Alternative,15115 CANYON RD E,Puyallup,WA,98375,253-314-5280
Green Solution - Collective Garden,15941 Meridian East,Puyallup,WA,98372,253=845-0525
Medical ReLeaf Organics,2701 E Main,Puyallup,WA,98371,253-282-3455
Mountain Medicine Clinic,10217 128th St. E. Suite E,Puyallup,WA,98374,253-256-4015
Naturally Green Access Point,10821 Valley East,Puyallup,WA,98372,253-256-4007
The Cure,12110 Meridian East,Puyallup,WA,98373,253-604-4607
The Substitute Wellness Center,7825 River Road E Suite A,Puyallup,WA,98371,253-848-2900
A A Organic Collective,9416 Delridge Way SW,Seattle,WA,98106,206-763-1228
A Greener Today,9509 Rainier Ave S,Seattle,WA,98118,206-257-0894
Altercare,828 Rainier Ave S,Seattle,WA,98144,206-329-2223
Alternative Care Clinic,5609 4TH AVE S,Seattle,WA,98108,206-629-2122
Apothecary,210 Broadway Ave E,Seattle,WA,98102,206-369-6708
B.O.T.H Collective,1417 10th Ave,Seattle,WA,98122,206-588-1036
Best Buds,2112 Thorndyke Ave W,Seattle,WA,98199,206-420-2343
Canna Health (West Seattle),9447 35th Ave SW,Seattle,WA,98126,877-513-8012
Canna RX,3601 Fremont Ave N Suite 210,Seattle,WA,98103,206-588-1637
Cannabis Oasis,11009 1st Ave S,Seattle,WA,98169,206-999-0645
Cannapi Consulting Services,6111 12th Avenue South,Seattle,WA,98108,206-763-1171
Choice Wellness,4534 1/2 University Way NE,Seattle,WA,98105,206-682-3015
Columbia City Holistic Health,5262 Rainier Ave S,Seattle,WA,98188,206-725-1040
Conscious Care Cooperative (North Seattle),14032 Aurora Ave N Suite C,Seattle,WA,98133,206-466-1206
Conscious Care Cooperative (Ballard),1701 NW Market St,Seattle,WA,98117,206-297-6043
Conscious Care Cooperative (Greenwood),8554-1/2 Greenwood Ave North,Seattle,WA,98103,206-789-1492
Cool Calm Collective,12309 15th Ave NE Suite B,Seattle,WA,98125,206-365-5737
Cosmic Dragon Collective,315 NW 85th St Suite B,Seattle,WA,98117,206-420-8364
Cut Loose Collective,8601 14th Ave S,Seattle,WA,98108,206-588-0744
CWC Gardens,8600 Aurora Avenue North,Seattle,WA,98103,206-682-3015
Dockside Co-Op,223 N 36th St ,Seattle,WA,98103,206-420-4837
Emerald City Collective Gardens,3161 Elliott Ave Suite 102,Seattle,WA,98121,206-462-1050
Emerald Gardens,16053 Aurora Ave N,Seattle,WA,98133,206-533-2053
Fremont Gardens,316 N 36th St,Seattle,WA,98103,206-632-7126
Fusion Medical Marijuana,1602 Dexter Ave N,Seattle,WA,98109,206-402-3957
Fweedom Collective,12001 Aurora Ave N,Seattle,WA,98133,206-734-9333
G.A.M.E. Collective,5435 California Ave SW,Seattle,WA,98136,206-371-8647
GNU Organics,9988 15th Ave SW Suite G,Seattle,WA,98146,206-495-7127
Green Anne @ Queen Anne,312 W Republican St,Seattle,WA,98119,206-420-1042
Green Buddha Patient Co-Op,2253 NE 65th St.,Seattle,WA,98115,206-297-9640
Green Relief,145 NW 85th St Suite 101,Seattle,WA,98117,206-363-2556
Green Wellness,1730 Minor Ave. Ste. 150,Seattle,WA,98101,888-885-9949
Greenhealth Cooperative,5307 4th Ave S,Seattle,WA,98108,206-730-0970
Greenside Medical,9804 Lake City Way NE,Seattle,WA,98115,206-380-3129
Greenwood Alternative Medicine,7601 Greenwood Ave N Suite 100,Seattle,WA,98103,206-457-8917
Greenworks Cooperative,11064 Lake City Way NE,Seattle,WA,98125,206-922-3911
Herbal Healing Collective,7749 15th Ave NW,Seattle,WA,98117,206-687-7644
Herbal Health Care Center,5303 Rainier Ave S Unit E,Seattle,WA,98118,206-453-4960
Herbal Market,10422 16th ave sw,Seattle,WA,98146,206-397-4929
Herban Legends,9619 16th Ave SW,Seattle,WA,98106,206-849-5596
Hope Clinic,2532 Alki Ave SW,Seattle,WA,98116,206-466-1766
Hope Clinic,1818 Westlake Ave Suite 106,Seattle,WA,98109,206-466-1766
It's Only Natural,4231 6th Ave NW,Seattle,WA,98107,206-535-6649
Lake City Conscious Care Cooperative,8288 Lake City Way NE,Seattle,WA,98115,206-829-9909
Life Tree,12409 Renton Ave S,Seattle,WA,98178,206-683-0508
Lucky Ladyz,2628 Alki Ave SW,Seattle,WA,98116,206-466-5144
Mary Jane Gardens,8733 Greenwood Ave. N,Seattle,WA,98103,206-457-8319 
Medicine Access Point (MAP),South Lake Union,Seattle,WA,98109,206-682-2545
Medicine Connection,929 N 130th St Suite #3,Seattle,WA,98133,206-393-7194
Nebula,4556 University Way NE Suite 200,Seattle,WA,98105,206-547-1624
New Millenium Collective,3867 Rainier Ave S,Seattle,WA,98118,206-725-8451
North Seattle Medical Collective,13000 Linden Ave N Suite 100,Seattle,WA,98133,206-462-5353
Northwest Cannabis Farmers Market,9640 16th Ave sw,Seattle,WA,98106,360-420-4303
Northwest Patient Resource Center,9456 35th Ave SW,Seattle,WA,98126,206-588-2841
NW Green Resource,"1620 Broadway, Suite 204",Seattle,WA,98122,206-453-4181
Plump,2258 15th Ave W,Seattle,WA,98119,206-765-7289
Professional Patient Co-Op,1421 N. 34th St,Seattle,WA,98103,206-402-6643
Puget Sound Health Alternatives,3202 15TH AVE W,Seattle,WA,98119,206-402-5082
Sea Weed Alternative Medicine,7136 Martin Luther King Jr. Way S,Seattle,WA,98118,206-725-0400
Seattle Alternative Medicine,4023 Aurora Ave N,Seattle,WA,98103,206-632-4023
Seattle Collective Garden,7701 15th Ave NW Suite B,Seattle,WA,98117,206-457-8196
Seattle Cross / Capitol Hill Patient,2315 East John St,Seattle,WA,98112,206-387-4367
Seattle Green Light Care Center,9211 Delridge Way SW,Seattle,WA,98106,206-497-6337
Seattle Medical Marijuana Association,4465 Fremont Ave N,Seattle,WA,98103,206-883-0573
Seattle MMJ Co-Op,8251 Lake City Way N,Seattle,WA,98115,206-457-4655
Seattle Quality Collective,13760 Aurora Ave N,Seattle,WA,98133,206-257-4941
SODO Holistic Health,3232 1st Avenue South,Seattle,WA,98108,206-257-5074
Sure Can Access Point,9240 2nd Ave SW Suite 200,Seattle,WA,98106,206-535-7645
Suzie Q’s,12710 Aurora Ave N,Seattle,WA,98133,206-650-2232
THC Care Provider,5343 Tallman Ave NW #104,Seattle,WA,98107,206-909-1961
THCO,511 N 85th St ,Seattle,WA,98103,206-829-9435
The CPC,74 S Lucile St,Seattle,WA,98134,888-972-1555
The Green Diamond,3305 NE 125th St,Seattle,WA,98125,206-457-5620
The Green Door,1207 South Jackson Street #109,Seattle,WA,98144,206-618-7133
The Solution,1116 N Northgate Way ,Seattle,WA,98133,206-306-6968
The Source,118 S Washington St,Seattle,WA,98104,206 395.2036
Trees,10532 Greenwood Ave. N ,Seattle,WA,98133,206-257-4407 
Urban Roots,1406 NE 50Th St Suite #B,Seattle,WA,98105,206-527-5154
Wallingford's Truly Helpful Collective,4423 Corliss Ave N,Seattle,WA,98103,206-535-6085
West Coast Wellness,14314 Greenwood Ave N,Seattle,WA,98133,206-420-3296
West Seattle Holistic Health,3808 18th Ave SW,Seattle,WA,98106,206-708-7398
A Green Cure,910 N 145th St,Shoreline,WA,98155,206-466-1264
Emerald Medical Harvest,17713 15th Ave W Suite 101,Shoreline,WA,98155,206-619-2379
Green Hope Patient Network,15021 Aurora Ave N,Shoreline,WA,98133,206 367-4420
Integrity Care Delivery,20150 Ballinger Way,Shoreline,WA,98155,206-718-1836
Pacific NW Medical,19926 Aurora Ave,Shoreline,WA,98133,206-542-2334
Seashore Collective,17517 15th Ave NE,Shoreline,WA,98155,206-687-7787
Greenthumb - Silverdale,2839 NW Kitsap Place #A,Silverdale,WA,98383,360-698-0353
The Highest Collective,16618 Pacific Ave S,Spanway,WA,98387,253-307-3748
Herbal Connection Inc.,606 Garland Avenue,Spokane,WA,99205,509-315-8459
Lilac City Collective Association,1716 N. Ash St.,Spokane,WA,99205,509-262-6413
Northside Alternative Wellness Center,4811 N. Market,Spokane,WA,99217,509-241-3306
PNWM,805 E. Houston Ave,Spokane,WA,99208,509-4749275
Sam's,515 S. Thor St.,Spokane,WA,99202,509-724-9424
"The Spot Collective Garden, Inc.",3625 E. Ferry Ave,Spokane,WA,99202,509-534-0476
"Alternative, MMD",10014 E. Montgomery Suite #7,Spokane Valley,WA,99206,509-475-0723
All Natural Wellness Collective Garnden,816 72ND ST E,Tacoma,WA,98444,253-314-5340
Canna Health (Tacoma),"3716 Pacific Avenue, Suite H",Tacoma,WA,98418,877-513-8012
Cannabis Club Collective,2706 6th Ave,Tacoma,WA,98406,253-507-4725
Cannatonics Society,711 Operal Alley Court C,Tacoma,WA,98402,253-302-5539
Cannatopia Alternative Medicine,14117 Pacific Ave S,Tacoma,WA,98444,253-539-5785
Emerald Pharms,5218 S Tacoma Way,Tacoma,WA,98409,253-475-2100
Evergreen Medicinal Gardens,2907 72nd St E,Tacoma,WA,98404,253-327-1214
Green Access,1129 E 72nd st,Tacoma,WA,98404,253-886-3832
Green Collar Club,10422 Pacific Ave S Suite B,Tacoma,WA,98444,253-267-0675
Green Stream Collective Garden,3913 s yakima,Tacoma,WA,98418,253-301-1501
Green Wellness,708 Broadway Suite 201,Tacoma,WA,98402,888-885-9949
Kind Help,2701 N 21st St,Tacoma,WA,98406,253-503-1598
Left Coast Cannabis,7604 South Tacoma Way Suite B,Tacoma,WA,98409,800-887-5785
Natural Care One Wherehouse,3028 River Road Suite D,Tacoma,WA,98443,253-922-5687
Nature's Resource Center,3833 Pacific Ave Suite C,Tacoma,WA,98418,253-572-5544
Nice Guys,11457 Pacific Ave Suite 8,Tacoma,WA,98444,253-531-8051
Northwest Best Alternative Medicine,122 Market St.,Tacoma,WA,98402,253-377-7594
Rainier Wellness Center,3111 S Pine St,Tacoma,WA,98409,253-302-3365
Sacred Plant Medicine,1912 Center St.,Tacoma,WA,98409,253-761-7806
Seattle Medicinal Collective,8236 pacific ave south,Tacoma,WA,98408,253-472-0192
Tacoma Cross,1126 Commerce St.,Tacoma,WA,98402,253-627-1377
The Herbal Gardens,811 Pacific Ave,Tacoma,WA,98402,253-272-5265
Green Wellness,"9013 NE HWY 99, Suite A",Vancouver,WA,98665,888-885-9949
Canna Brothers,11822 Hobby Street SE,Yelm,WA,98597,360-561-4096
